"Compound"	"Species"	"Concentration"	"Unit"	"BiologicalReplicate"	"TechnicalReplicate"	"Liver integrity (%)"	"Date"	"RET dose (mg/kg bw)"	"DOSEORIGINALUNIT"	"CMAXULIV"	"Response"
"RTS"	"mouse"	0	"uM"	"2"	"a"	101.022362160799	2021-07-30	0	"mgperkgbw"	0	-1.02236216079945
"RTS"	"mouse"	0	"uM"	"2"	"b"	98.1612500067049	2021-07-30	0	"mgperkgbw"	0	1.83874999329511
"RTS"	"mouse"	0	"uM"	"2"	"c"	100.816387832496	2021-07-30	0	"mgperkgbw"	0	-0.816387832495664
"RTS"	"mouse"	0	"uM"	"3"	"a"	100.316642270472	2021-08-20	0	"mgperkgbw"	0	-0.316642270472457
"RTS"	"mouse"	0	"uM"	"3"	"b"	100.029986988696	2021-08-20	0	"mgperkgbw"	0	-0.0299869886964075
"RTS"	"mouse"	0	"uM"	"3"	"c"	99.6533707408311	2021-08-20	0	"mgperkgbw"	0	0.346629259168935
"RTS"	"mouse"	0.98	"uM"	"2"	"a"	94.8431323116864	2021-07-30	1.73780082874938	"mgperkgbw"	0.983	5.15686768831364
"RTS"	"mouse"	0.98	"uM"	"2"	"b"	94.9895671857148	2021-07-30	1.73780082874938	"mgperkgbw"	0.983	5.01043281428517
"RTS"	"mouse"	0.98	"uM"	"2"	"c"	95.2100240839775	2021-07-30	1.73780082874938	"mgperkgbw"	0.983	4.78997591602254
"RTS"	"mouse"	0.98	"uM"	"3"	"a"	100.039135561519	2021-08-20	1.73780082874938	"mgperkgbw"	0.983	-0.0391355615190605
"RTS"	"mouse"	0.98	"uM"	"3"	"b"	96.3827559567374	2021-08-20	1.73780082874938	"mgperkgbw"	0.983	3.61724404326262
"RTS"	"mouse"	0.98	"uM"	"3"	"c"	95.0653614702773	2021-08-20	1.73780082874938	"mgperkgbw"	0.983	4.93463852972272
"RTS"	"mouse"	1.95	"uM"	"2"	"a"	94.619457064544	2021-07-30	3.46736850452532	"mgperkgbw"	1.97	5.38054293545601
"RTS"	"mouse"	1.95	"uM"	"2"	"b"	93.7714221347308	2021-07-30	3.46736850452532	"mgperkgbw"	1.97	6.22857786526919
"RTS"	"mouse"	1.95	"uM"	"2"	"c"	94.3088863976485	2021-07-30	3.46736850452532	"mgperkgbw"	1.97	5.69111360235154
"RTS"	"mouse"	1.95	"uM"	"3"	"a"	101.432768154835	2021-08-20	3.46736850452532	"mgperkgbw"	1.97	-1.43276815483451
"RTS"	"mouse"	1.95	"uM"	"3"	"b"	99.6289745466374	2021-08-20	3.46736850452532	"mgperkgbw"	1.97	0.371025453362634
"RTS"	"mouse"	1.95	"uM"	"3"	"c"	100.080304139221	2021-08-20	3.46736850452532	"mgperkgbw"	1.97	-0.0803041392209281
"RTS"	"mouse"	3.9	"uM"	"2"	"a"	93.3932661413606	2021-07-30	6.91830970918936	"mgperkgbw"	3.94	6.60673385863939
"RTS"	"mouse"	3.9	"uM"	"2"	"b"	96.5215012524741	2021-07-30	6.91830970918936	"mgperkgbw"	3.94	3.47849874752589
"RTS"	"mouse"	3.9	"uM"	"2"	"c"	92.7141945277341	2021-07-30	6.91830970918936	"mgperkgbw"	3.94	7.28580547226588
"RTS"	"mouse"	3.9	"uM"	"3"	"a"	94.0132755956737	2021-08-20	6.91830970918936	"mgperkgbw"	3.94	5.98672440432628
"RTS"	"mouse"	3.9	"uM"	"3"	"b"	95.4435024802797	2021-08-20	6.91830970918936	"mgperkgbw"	3.94	4.55649751972028
