"Compound"	"Species"	"Concentration"	"Unit"	"BiologicalReplicate"	"TechnicalReplicate"	"Liver integrity (%)"	"Date"	"RET dose (mg/kg bw)"	"DOSEORIGINALUNIT"	"CMAXULIV"	"Response"
"RTS"	"rat"	0	"uM"	"1"	"a"	100.335828667865	2021-08-27	0	"mgperkgbw"	0	-0.335828667865457
"RTS"	"rat"	0	"uM"	"1"	"b"	98.008408469684	2021-08-27	0	"mgperkgbw"	0	1.99159153031596
"RTS"	"rat"	0	"uM"	"1"	"c"	101.655762862451	2021-08-27	0	"mgperkgbw"	0	-1.65576286245054
"RTS"	"rat"	0	"uM"	"2"	"a"	97.9864003162346	2021-09-03	0	"mgperkgbw"	0	2.01359968376543
"RTS"	"rat"	0	"uM"	"2"	"b"	100.106609382424	2021-09-03	0	"mgperkgbw"	0	-0.10660938242421
"RTS"	"rat"	0	"uM"	"2"	"c"	101.906990301341	2021-09-03	0	"mgperkgbw"	0	-1.90699030134121
"RTS"	"rat"	0	"uM"	"3"	"a"	98.9071272446749	2021-09-10	0	"mgperkgbw"	0	1.09287275532508
"RTS"	"rat"	0	"uM"	"3"	"b"	99.2542750610723	2021-09-10	0	"mgperkgbw"	0	0.745724938927694
"RTS"	"rat"	0	"uM"	"3"	"c"	101.838597694253	2021-09-10	0	"mgperkgbw"	0	-1.83859769425278
"RTS"	"rat"	0.98	"uM"	"1"	"a"	95.1402616062813	2021-08-27	2.29086765276777	"mgperkgbw"	0.986	4.85973839371871
"RTS"	"rat"	0.98	"uM"	"1"	"b"	96.9817929850067	2021-08-27	2.29086765276777	"mgperkgbw"	0.986	3.01820701499325
"RTS"	"rat"	0.98	"uM"	"1"	"c"	96.1502982073551	2021-08-27	2.29086765276777	"mgperkgbw"	0.986	3.84970179264491
"RTS"	"rat"	0.98	"uM"	"2"	"a"	96.6184462181619	2021-09-03	2.29086765276777	"mgperkgbw"	0.986	3.38155378183808
"RTS"	"rat"	0.98	"uM"	"2"	"b"	98.5074686460608	2021-09-03	2.29086765276777	"mgperkgbw"	0.986	1.49253135393916
"RTS"	"rat"	0.98	"uM"	"2"	"c"	99.7843855186926	2021-09-03	2.29086765276777	"mgperkgbw"	0.986	0.215614481307426
"RTS"	"rat"	0.98	"uM"	"3"	"a"	100.554293632766	2021-09-10	2.29086765276777	"mgperkgbw"	0.986	-0.554293632766175
"RTS"	"rat"	0.98	"uM"	"3"	"b"	101.178588265547	2021-09-10	2.29086765276777	"mgperkgbw"	0.986	-1.17858826554664
"RTS"	"rat"	0.98	"uM"	"3"	"c"	102.472892469892	2021-09-10	2.29086765276777	"mgperkgbw"	0.986	-2.47289246989241
